chargedeviceid,name,latitude,longitude,town,chargedevicestatus,locationtype,datecreated,dateupdated,connectorcount
83ea9514aaa369bc53410a64314ff38b,ABERDEEN EXHIBITION AND CONFERENCE CENTRE,57.186084,-2.087764,ABERDEEN,IN SERVICE,LEISURE CENTRE,2016-03-15T14:46:31Z,2016-03-15T14:47:11Z,2
109990abe47d3f4af7b0749e7bd8d0a9,SHIELBRIDGE - SHIEL SHOP & SERVICES,57.213723,-5.418547,KYLE,IN SERVICE,SERVICE STATION,2016-03-16T10:07:33Z,2016-03-16T10:07:33Z,3
282f3a0cee1b0a724ccab671ee4cb03b,THE REAL FOOD CAFE,56.436161,-4.711599,CRIANLARICH,IN SERVICE,RETAIL CAR PARK,2016-03-16T10:12:02Z,2016-03-16T10:12:02Z,3
c04981bb46c00a728e7518feedbea032,THE GREEN WELLY STOP,56.436161,-4.711599,CRIANLARICH,IN SERVICE,RETAIL CAR PARK,2016-03-16T10:14:33Z,2016-03-16T10:14:33Z,3
c099e468717d7f2501b9538dd6bdf97b,GRANGEMOUTH - UNION ROAD CAR PARK,56.020109,-3.723729,GRANGEMOUTH,IN SERVICE,PUBLIC CAR PARK,2016-03-17T11:08:41Z,2019-11-07T21:02:50Z,2
197a3f1c7999779193f8843ca08da296,ST ANDREWS - ST MARY'S PLACE CAR PARK,56.340048,-2.799733,ST ANDREWS,IN SERVICE,PUBLIC CAR PARK,2016-03-17T11:28:45Z,2016-03-17T11:29:43Z,3
febdb77065779dcaa45360d79bf0cf12,GLENROTHES - FACILITIES MANAGEMENT,56.181356,-3.143387,GLENROTHES,IN SERVICE,WORKPLACE CAR PARK,2016-03-17T12:04:14Z,2016-03-17T12:04:14Z,3
f25afacbf96a5e74d73f4ec5b8b9c3cf,ALLOA - KILNCRAIGS,56.112735,-3.790207,ALLOA,IN SERVICE,PUBLIC CAR PARK,2016-03-29T14:14:27Z,2019-11-07T21:03:02Z,3
5f190feb625339292b1a5ff3e8fbd165,BODDAM DUNROSSNESS,59.919137,-1.301706,SHETLAND,IN SERVICE,PUBLIC CAR PARK,2016-03-30T08:26:13Z,2019-11-07T21:03:14Z,2
4f5c080857a46e4b01ee7884c098613e,ULSTA FERRY TERMINAL YELL,60.496657,-1.159919,SHETLAND,IN SERVICE,PUBLIC CAR PARK,2016-03-30T08:36:21Z,2019-11-07T21:03:25Z,3
a5f988d7207d0369ff9f28af166bf036,BALTASOUND SHETLAND,60.759109,-0.889408,SHETLAND,IN SERVICE,PUBLIC CAR PARK,2016-03-30T08:40:40Z,2019-11-07T21:04:00Z,2
bfc15822b583d87ac2125388f35ec786,LERWICK - GILBERTSON PARK.,60.155183,-1.156171,SHETLAND,IN SERVICE,PUBLIC CAR PARK,2016-04-06T11:31:40Z,2019-11-07T21:03:37Z,3
70afa8356b1b8790115effa6a3e35230,NAIRN COURT HOUSE LANE CAR PARK,57.585289,-3.871088,AULDEARN,IN SERVICE,PUBLIC CAR PARK,2016-04-08T10:32:48Z,2019-11-07T21:04:26Z,3
d00097f89aa7f7c624679166827181c2,DINGWALL INCHWANNIE COURT CAR PARK,57.595019,-4.42856,DINGWALL,IN SERVICE,PUBLIC CAR PARK,2016-04-08T10:36:02Z,2019-11-07T21:04:52Z,3
9adbd28929066b97710ded070d306d7f,AUCHTERARDER - CROWN INN WYND CAR PARK,56.29623,-3.707289,AUCHTERARDER,IN SERVICE,PUBLIC CAR PARK,2016-04-26T12:01:22Z,2019-11-07T21:03:48Z,3
6a95d07db2921201a61a279e84be32e2,CASTLEVIEW PARK AND RIDE,56.131023,-3.966064,STIRLING,IN SERVICE,PARK & RIDE SITE,2016-04-26T12:13:06Z,2019-11-07T21:05:18Z,3
7787981698c0c4b7cdb0824c5f0ed814,DUKE STREET CAR PARK,55.859316,-4.236345,GLASGOW,IN SERVICE,PUBLIC CAR PARK,2016-04-28T08:27:45Z,2019-11-07T21:05:34Z,3
2d65649f02b1b033a4423339b10d0bbf,GREAT WESTERN RD GLASGOW,55.877068,-4.287597,GLASGOW,IN SERVICE,ON-STREET,2016-04-28T08:33:35Z,2019-11-07T21:05:48Z,2
f0aa5a09a3f349c5d72ea3dcf4531e41,SOUTH PORTLAND STREET,55.8533,-4.256708,GLASGOW,IN SERVICE,ON-STREET,2016-04-28T08:38:52Z,2019-11-07T21:06:18Z,2
362906da5863ade97b152f94db45d79a,SAUCHIEHALL STREET -NEWTON TERRACE,55.866342,-4.274304,GLASGOW,IN SERVICE,ON-STREET,2016-04-28T08:42:49Z,2020-04-24T08:06:12Z,2
f5ab4352328f18b3442fbff3d786f186,ASHTON ROAD CAR PARK,55.87411,-4.294479,GLASGOW,IN SERVICE,PUBLIC CAR PARK,2016-04-28T08:46:12Z,2019-11-07T21:06:04Z,2
c7f9cc41f5f9bd737d9496b06db991c9,ATHOLL ST CAR PARK,56.567653,-3.58622,DUNKELD,OUT OF SERVICE,PUBLIC CAR PARK,2016-10-18T13:05:40Z,2020-01-11T11:53:50Z,1
5919cc509bc0234c73ddec244c930964,STONEHAVEN STATION CAR PARK,56.9663,-2.22564,STONEHAVEN,IN SERVICE,PUBLIC CAR PARK,2016-10-18T13:26:07Z,2020-01-11T11:54:21Z,3
1d779e8a06ac2a215d2effe4bc0b9eb5,FIONNPHORT CAR PARK,56.324667,-6.36329,ISLE OF MULL,IN SERVICE,PUBLIC CAR PARK,2016-10-19T11:24:39Z,2020-01-11T11:54:49Z,3
